provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
Anthropic,2026 YTD,interaction_pattern,static_prompt_response,0.7995391705069124,23,2.0,0.3997695852534562
Anthropic,2026 YTD,interaction_pattern,multi_step_planning,0.4337429595494111,33,2.0,0.21687147977470556
Anthropic,2026 YTD,interaction_pattern,environment_interaction,0.3538658474142345,29,2.0,0.17693292370711725
Anthropic,2026 YTD,interaction_pattern,terminal_or_codebase_interaction,0.20320020481310802,17,2.0,0.10160010240655401
Anthropic,2026 YTD,interaction_pattern,browser_or_web_interaction,0.10156169994879671,9,2.0,0.05078084997439836
Anthropic,2026 YTD,interaction_pattern,computer_control,0.0456221198156682,5,2.0,0.0228110599078341
Anthropic,2026 YTD,interaction_pattern,multi_turn_dialogue,0.035842293906810034,3,2.0,0.017921146953405017
Anthropic,2026 YTD,interaction_pattern,single_turn_tool_use,0.02662570404505888,2,2.0,0.01331285202252944
Anthropic,2026 YTD,modality,text,1.0555299539170506,52,2.0,0.5277649769585253
Anthropic,2026 YTD,modality,tool_api,0.2921146953405018,21,2.0,0.1460573476702509
Anthropic,2026 YTD,modality,code,0.24846390168970814,17,2.0,0.12423195084485407
Anthropic,2026 YTD,modality,image,0.11594982078853046,10,2.0,0.05797491039426523
Anthropic,2026 YTD,modality,browser_ui,0.09994879672299027,9,2.0,0.049974398361495136
Anthropic,2026 YTD,modality,multimodal_mixed,0.08138760880696363,8,2.0,0.04069380440348182
Anthropic,2026 YTD,modality,document_layout,0.07987711213517665,6,2.0,0.039938556067588324
Anthropic,2026 YTD,modality,desktop_ui,0.02672811059907834,3,2.0,0.01336405529953917
